,config,energy,magnetization
0,"[[ 1 -1 -1  1  1 -1  1  1  1  1  1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1  1 -1  1 -1  1]
 [-1  1  1 -1 -1 -1  1  1  1 -1 -1  1  1]
 [-1  1  1  1  1 -1  1 -1 -1  1  1 -1  1]
 [-1  1 -1  1  1  1  1  1 -1  1 -1  1  1]
 [-1  1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1]
 [ 1  1 -1  1 -1 -1 -1 -1  1 -1 -1 -1  1]
 [ 1  1 -1 -1  1  1 -1  1 -1 -1 -1 -1  1]
 [ 1  1  1  1  1  1  1  1 -1 -1  1  1  1]
 [-1  1  1  1 -1 -1 -1 -1  1  1  1  1  1]
 [ 1  1 -1  1 -1 -1  1  1  1  1  1  1  1]
 [-1 -1  1 -1  1 -1 -1  1  1 -1 -1 -1 -1]
 [ 1  1 -1  1  1 -1  1  1  1 -1  1  1 -1]]",-0.17751479289940827,0.0650887573964497
1,"[[-1 -1 -1  1 -1 -1 -1 -1 -1  1 -1  1 -1]
 [ 1 -1 -1  1  1  1 -1  1 -1  1 -1  1  1]
 [-1  1 -1 -1 -1  1 -1  1 -1  1  1 -1 -1]
 [ 1 -1 -1  1  1  1 -1  1  1  1  1 -1  1]
 [ 1 -1 -1 -1 -1  1 -1  1  1  1 -1 -1 -1]
 [-1  1 -1 -1 -1 -1 -1  1 -1 -1  1  1 -1]
 [-1 -1  1  1 -1 -1 -1 -1  1  1 -1 -1  1]
 [-1 -1 -1 -1  1  1 -1 -1 -1  1  1 -1 -1]
 [-1 -1 -1  1  1 -1  1  1  1  1  1  1  1]
 [-1 -1  1 -1  1 -1  1  1 -1 -1 -1 -1  1]
 [-1  1  1  1  1  1 -1  1  1 -1 -1 -1  1]
 [ 1 -1  1 -1 -1  1  1 -1  1  1 -1 -1  1]
 [ 1  1 -1  1 -1 -1  1 -1 -1  1  1  1  1]]",-0.05917159763313609,-0.05325443786982249
2,"[[-1 -1  1  1  1  1  1  1  1  1  1 -1  1]
 [-1  1 -1 -1  1  1  1 -1  1  1  1  1 -1]
 [-1  1  1 -1 -1  1 -1  1  1 -1 -1  1  1]
 [ 1  1 -1  1 -1 -1  1  1 -1 -1  1  1  1]
 [-1  1 -1  1  1 -1 -1  1  1  1  1 -1  1]
 [-1  1  1 -1 -1  1 -1  1 -1  1 -1 -1 -1]
 [-1  1  1 -1 -1  1  1  1  1  1  1  1 -1]
 [ 1 -1  1  1 -1  1  1  1  1 -1 -1  1  1]
 [ 1 -1  1 -1  1  1  1 -1  1 -1  1 -1  1]
 [ 1 -1 -1 -1  1  1 -1  1 -1  1  1  1  1]
 [-1  1  1 -1 -1 -1 -1 -1 -1  1 -1  1  1]
 [ 1  1 -1 -1 -1  1  1  1  1  1  1  1 -1]
 [ 1  1  1  1  1  1  1  1  1  1  1  1  1]]",-0.20118343195266272,0.26627218934911245
3,"[[-1 -1 -1  1 -1 -1  1 -1  1  1 -1 -1  1]
 [-1 -1 -1 -1 -1 -1  1 -1 -1  1  1  1  1]
 [ 1 -1 -1  1  1 -1  1 -1 -1 -1  1  1 -1]
 [-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  1 -1]
 [-1 -1  1 -1 -1 -1 -1 -1 -1  1  1 -1  1]
 [ 1 -1 -1 -1 -1 -1  1  1 -1 -1 -1  1 -1]
 [ 1 -1  1  1 -1 -1  1 -1  1  1  1 -1  1]
 [ 1 -1 -1  1  1  1  1 -1  1  1 -1  1  1]
 [-1 -1  1 -1 -1 -1 -1 -1  1  1 -1 -1 -1]
 [ 1  1  1 -1 -1  1  1  1 -1 -1 -1  1  1]
 [-1 -1  1  1  1  1 -1  1 -1 -1 -1  1  1]
 [-1  1  1  1 -1  1 -1  1 -1 -1  1 -1 -1]
 [ 1  1  1 -1 -1 -1  1 -1 -1 -1 -1  1  1]]",-0.15384615384615385,-0.14792899408284024
4,"[[-1 -1 -1  1  1  1 -1 -1 -1  1  1 -1 -1]
 [-1 -1  1 -1  1  1 -1  1 -1  1  1 -1 -1]
 [ 1 -1 -1  1  1 -1 -1 -1 -1 -1  1 -1  1]
 [-1 -1 -1 -1  1 -1  1 -1 -1 -1  1  1 -1]
 [-1 -1 -1  1 -1 -1  1  1 -1 -1  1 -1  1]
 [-1 -1 -1  1  1 -1 -1 -1  1 -1  1 -1 -1]
 [-1 -1  1  1  1 -1 -1 -1 -1 -1  1  1 -1]
 [ 1  1  1  1  1  1  1 -1 -1 -1 -1 -1 -1]
 [-1 -1  1  1  1 -1  1 -1  1  1 -1  1 -1]
 [-1 -1 -1 -1  1  1  1 -1 -1  1 -1  1 -1]
 [ 1  1  1 -1 -1  1 -1 -1 -1  1 -1  1 -1]
 [-1 -1  1 -1 -1 -1  1 -1 -1  1 -1  1 -1]
 [ 1 -1  1 -1  1  1 -1 -1  1  1  1 -1 -1]]",-0.27218934911242604,-0.17159763313609466
5,"[[-1 -1  1 -1 -1 -1 -1 -1 -1 -1  1  1  1]
 [ 1 -1  1 -1  1  1 -1  1  1 -1 -1 -1  1]
 [ 1  1 -1 -1 -1 -1 -1  1  1 -1 -1 -1  1]
 [ 1  1 -1 -1  1  1 -1 -1  1  1  1  1  1]
 [-1  1 -1 -1  1  1 -1  1 -1 -1 -1  1  1]
 [ 1 -1  1  1 -1 -1 -1 -1 -1  1  1  1  1]
 [ 1  1  1  1 -1 -1 -1  1 -1 -1 -1 -1 -1]
 [ 1  1  1  1 -1 -1 -1  1  1 -1  1 -1  1]
 [-1 -1  1  1  1 -1 -1  1  1 -1 -1  1 -1]
 [-1 -1 -1 -1 -1 -1 -1  1  1  1 -1 -1 -1]
 [-1  1  1  1 -1  1  1  1  1  1 -1 -1 -1]
 [-1 -1 -1  1 -1 -1  1  1  1 -1 -1 -1 -1]
 [-1 -1 -1  1 -1 -1 -1  1  1 -1 -1  1  1]]",-0.4378698224852071,-0.08875739644970414
6,"[[ 1  1 -1  1  1 -1 -1 -1 -1  1 -1 -1 -1]
 [ 1  1 -1  1  1  1 -1 -1 -1 -1  1  1 -1]
 [ 1 -1  1 -1  1 -1  1  1  1  1  1  1  1]
 [-1 -1  1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1]
 [-1 -1 -1 -1 -1 -1 -1  1  1 -1 -1  1  1]
 [ 1  1  1  1  1  1 -1 -1  1  1  1  1 -1]
 [ 1  1  1  1 -1 -1  1 -1  1 -1 -1 -1 -1]
 [ 1  1  1  1 -1  1  1  1 -1 -1 -1 -1 -1]
 [ 1  1  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1]
 [ 1 -1  1  1 -1 -1 -1 -1 -1  1  1  1  1]
 [ 1  1  1  1 -1  1  1 -1  1  1 -1  1  1]
 [ 1 -1  1  1  1 -1  1 -1 -1 -1  1 -1  1]
 [ 1  1  1  1  1  1  1 -1 -1  1  1  1  1]]",-0.3668639053254438,0.07692307692307693
7,"[[-1 -1 -1  1  1  1  1 -1  1  1 -1  1  1]
 [ 1 -1 -1  1 -1  1  1 -1  1 -1  1  1  1]
 [-1 -1 -1 -1  1 -1  1  1  1  1 -1 -1  1]
 [-1  1  1  1 -1  1  1  1 -1  1 -1 -1 -1]
 [ 1 -1 -1 -1 -1 -1 -1  1  1  1 -1 -1  1]
 [ 1 -1 -1  1  1  1 -1 -1  1 -1 -1 -1 -1]
 [ 1  1 -1 -1  1  1 -1 -1  1 -1  1 -1  1]
 [ 1  1 -1 -1  1 -1  1  1  1 -1 -1 -1  1]
 [ 1 -1 -1 -1 -1  1 -1  1  1  1  1  1  1]
 [ 1 -1 -1  1 -1 -1  1  1  1  1 -1 -1 -1]
 [-1  1  1  1  1  1 -1 -1  1 -1 -1 -1 -1]
 [ 1  1 -1 -1  1  1 -1 -1 -1 -1 -1  1 -1]
 [ 1  1 -1 -1  1 -1  1 -1 -1  1  1  1  1]]",-0.17751479289940827,0.01775147928994083
8,"[[ 1 -1  1 -1  1 -1  1  1  1  1 -1 -1  1]
 [ 1  1  1 -1 -1  1  1  1  1  1 -1 -1  1]
 [ 1  1 -1 -1  1  1  1  1 -1  1 -1 -1 -1]
 [ 1  1 -1  1  1  1  1  1 -1 -1 -1 -1  1]
 [-1 -1 -1  1 -1 -1  1  1  1 -1  1  1 -1]
 [-1 -1 -1  1  1 -1 -1 -1  1 -1  1  1  1]
 [ 1  1  1  1  1  1  1 -1  1 -1 -1 -1  1]
 [-1  1  1 -1  1  1 -1  1  1 -1 -1 -1 -1]
 [ 1  1 -1  1  1 -1  1 -1 -1  1  1 -1 -1]
 [ 1  1  1 -1 -1  1 -1 -1 -1  1 -1  1 -1]
 [ 1 -1  1  1  1  1 -1  1  1 -1  1  1 -1]
 [ 1 -1  1 -1 -1  1  1  1  1  1  1 -1 -1]
 [-1  1  1 -1 -1  1 -1  1  1  1 -1  1  1]]",-0.15384615384615385,0.14792899408284024
9,"[[ 1  1  1  1 -1 -1 -1 -1 -1 -1 -1 -1  1]
 [-1  1  1 -1  1 -1 -1  1 -1 -1 -1  1  1]
 [-1 -1  1  1  1  1 -1 -1 -1 -1  1 -1  1]
 [-1 -1  1 -1  1  1  1  1 -1  1  1 -1 -1]
 [ 1 -1  1  1  1 -1  1 -1  1 -1 -1 -1 -1]
 [-1  1 -1  1  1 -1 -1  1  1  1 -1 -1  1]
 [-1  1 -1 -1 -1 -1  1 -1  1  1  1  1 -1]
 [-1  1  1 -1 -1 -1  1  1  1  1 -1  1  1]
 [ 1  1 -1 -1 -1 -1  1 -1  1  1 -1 -1  1]
 [-1  1 -1  1  1  1  1  1  1  1 -1  1  1]
 [ 1  1  1 -1  1 -1  1  1  1  1  1 -1 -1]
 [ 1 -1 -1 -1  1  1 -1 -1  1  1 -1  1 -1]
 [-1 -1 -1  1  1 -1 -1 -1  1 -1  1  1  1]]",-0.10650887573964497,0.04142011834319527
