,C,Minimum energy,Best Ti sites,Total time
0,0.00075,-123.91169923373496,"[(2, 1), (1, 6), (1, 8), (3, 8), (2, 7), (1, 4), (1, 2), (5, 8)]",201.81008846999976
1,0.00075,-123.91169923373455,"[(2, 1), (1, 6), (1, 8), (3, 8), (2, 7), (1, 4), (1, 2), (5, 8)]",186.9647161539997
2,0.00075,-123.91169923373454,"[(2, 1), (1, 6), (1, 8), (3, 8), (2, 7), (1, 4), (1, 2), (5, 8)]",183.70244765399912
3,0.00075,-123.91169923373454,"[(2, 1), (1, 6), (1, 8), (3, 8), (2, 7), (1, 4), (1, 2), (5, 8)]",197.25564927100095
4,0.00075,-123.91169923373454,"[(2, 1), (1, 6), (1, 8), (3, 8), (2, 7), (1, 4), (1, 2), (5, 8)]",189.80017984799997
5,0.0005,-123.91169923373454,"[(2, 1), (1, 6), (1, 8), (3, 8), (2, 7), (1, 4), (1, 2), (5, 8)]",187.40549126599944
6,0.0005,-123.91169923373455,"[(2, 1), (1, 6), (1, 8), (3, 8), (2, 7), (1, 4), (1, 2), (5, 8)]",186.04058618399904
7,0.0005,-123.91169923373454,"[(2, 1), (1, 6), (1, 8), (3, 8), (2, 7), (1, 4), (1, 2), (5, 8)]",185.68263857700003
8,0.0005,-123.91169923373454,"[(2, 1), (1, 6), (1, 8), (3, 8), (2, 7), (1, 4), (1, 2), (5, 8)]",187.2846994270003
9,0.0005,-123.91169923373454,"[(2, 1), (1, 6), (1, 8), (3, 8), (2, 7), (1, 4), (1, 2), (5, 8)]",212.07553680400088
10,0.00025,-123.91169923373454,"[(2, 1), (1, 6), (1, 8), (3, 8), (2, 7), (1, 4), (1, 2), (5, 8)]",199.07413864500086
11,0.00025,-123.91169923373454,"[(2, 1), (1, 6), (1, 8), (3, 8), (2, 7), (1, 4), (1, 2), (5, 8)]",203.64477020199956
12,0.00025,-123.91169923373454,"[(2, 1), (1, 6), (1, 8), (3, 8), (2, 7), (1, 4), (1, 2), (5, 8)]",195.7049531320008
13,0.00025,-123.91169923373454,"[(2, 1), (1, 6), (1, 8), (3, 8), (2, 7), (1, 4), (1, 2), (5, 8)]",196.3344675929984
14,0.00025,-123.91169923373454,"[(2, 1), (1, 6), (1, 8), (3, 8), (2, 7), (1, 4), (1, 2), (5, 8)]",195.83739992400115
15,0.0001,-123.91169923373455,"[(2, 1), (1, 6), (1, 8), (3, 8), (2, 7), (1, 4), (1, 2), (5, 8)]",197.08728995400088
16,0.0001,-123.91169923373454,"[(2, 1), (1, 6), (1, 8), (3, 8), (2, 7), (1, 4), (1, 2), (5, 8)]",226.57010884199917
17,0.0001,-123.91169923373454,"[(2, 1), (1, 6), (1, 8), (3, 8), (2, 7), (1, 4), (1, 2), (5, 8)]",214.56127540499983
18,0.0001,-123.91169923373454,"[(2, 1), (1, 6), (1, 8), (3, 8), (2, 7), (1, 4), (1, 2), (5, 8)]",307.6440825360023
19,0.0001,-123.91169923373454,"[(2, 1), (1, 6), (1, 8), (3, 8), (2, 7), (1, 4), (1, 2), (5, 8)]",276.0085078669981
