,C,Minimum energy,Best Ti sites,Total time
0,500,-123.54010843168786,"[(2, 7), (7, 7), (6, 1), (2, 9), (1, 8), (8, 1), (7, 2), (3, 8)]",192.4651913409998
1,500,-123.68982184102369,"[(1, 8), (8, 6), (7, 1), (3, 8), (1, 6), (3, 1), (1, 3), (8, 8)]",211.99062142499997
2,500,-123.79553622461616,"[(1, 2), (5, 1), (8, 2), (2, 1), (7, 7), (5, 8), (8, 4), (8, 6)]",182.9974011979998
3,500,-123.77473180511036,"[(4, 8), (1, 4), (8, 1), (1, 2), (1, 6), (8, 3), (7, 2), (8, 6)]",207.25395999900002
4,500,-123.72559407360923,"[(1, 5), (1, 2), (2, 7), (8, 6), (7, 8), (7, 2), (3, 8), (8, 3)]",386.04669752100017
5,450,-123.7592784797483,"[(6, 1), (1, 5), (8, 6), (1, 7), (1, 3), (8, 2), (4, 8), (7, 7)]",187.32678088500006
6,450,-123.75943183559345,"[(1, 3), (4, 8), (2, 7), (7, 1), (2, 2), (8, 6), (1, 5), (6, 8)]",184.8215244940002
7,450,-123.5617359528124,"[(7, 8), (5, 8), (6, 1), (2, 7), (8, 5), (8, 3), (9, 4), (3, 8)]",184.84644487199967
8,450,-123.73717238585756,"[(8, 5), (3, 8), (8, 7), (8, 3), (1, 4), (6, 8), (8, 1), (1, 8)]",218.55056387100012
9,450,-123.52645485021655,"[(4, 1), (7, 8), (7, 1), (0, 4), (8, 5), (8, 7), (8, 3), (1, 5)]",203.26149281400012
10,400,-123.6283302776837,"[(8, 5), (8, 8), (3, 1), (5, 8), (7, 1), (1, 5), (1, 8), (2, 7)]",187.39292735900017
11,400,-123.81250621647675,"[(7, 7), (1, 6), (1, 2), (4, 1), (1, 4), (2, 1), (5, 8), (8, 5)]",212.4908666300007
12,400,-123.73768191597101,"[(1, 3), (8, 2), (8, 5), (2, 2), (5, 8), (2, 8), (1, 6), (3, 1)]",222.2802564450003
13,400,-123.80706139567857,"[(1, 5), (6, 1), (8, 3), (1, 3), (6, 8), (7, 2), (8, 1), (8, 8)]",224.6658333260002
14,400,-123.51379274144823,"[(7, 2), (1, 4), (2, 1), (1, 6), (0, 1), (4, 8), (1, 2), (5, 1)]",217.17639153799973
15,350,-123.69436449052881,"[(3, 1), (1, 5), (8, 6), (2, 2), (6, 8), (2, 7), (8, 3), (7, 2)]",228.25371893699958
16,350,-123.78402824211489,"[(1, 8), (1, 6), (2, 7), (6, 1), (8, 3), (7, 2), (8, 6), (4, 8)]",219.7003398220004
17,350,-123.86230913183333,"[(7, 1), (8, 7), (7, 8), (8, 5), (5, 1), (8, 2), (5, 8), (3, 1)]",209.75728812299985
18,350,-123.77597148866016,"[(2, 8), (8, 3), (3, 1), (7, 8), (1, 6), (5, 1), (8, 6), (7, 1)]",194.5114686400002
19,350,-123.75293038745446,"[(1, 5), (3, 8), (8, 7), (2, 7), (7, 1), (8, 5), (2, 1), (1, 8)]",194.4552879419998
20,300,-123.72141872100464,"[(3, 1), (8, 2), (1, 1), (1, 6), (5, 8), (6, 1), (2, 8), (7, 8)]",195.83591426400017
21,300,-123.6402437802199,"[(8, 8), (2, 7), (5, 1), (3, 1), (8, 1), (1, 3), (7, 2), (5, 8)]",237.09290530399994
22,300,-123.74694624459457,"[(2, 2), (3, 8), (6, 8), (5, 1), (2, 7), (1, 4), (8, 2), (3, 1)]",261.7526297300001
23,300,-123.72272652353159,"[(8, 1), (2, 8), (1, 6), (7, 2), (8, 5), (1, 4), (1, 1), (6, 1)]",237.95135917600055
24,300,-123.77987189923455,"[(1, 4), (8, 8), (8, 6), (4, 1), (8, 3), (7, 2), (1, 2), (6, 1)]",246.65951903399946
