,C,Minimum energy,Best Ti sites,Total time
0,500,-123.91169923373494,"[(2, 2), (3, 1), (1, 3), (5, 1), (1, 5), (1, 7), (2, 8), (1, 1)]",209.5526543909982
1,500,-123.91169923373485,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",197.68560621100187
2,500,-123.91169923373505,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",198.54844918299932
3,500,-123.91169923373462,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",191.61672573599935
4,250,-123.91169923373508,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",204.5138440720002
5,250,-123.91169923373454,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",201.19115402199895
6,250,-123.91169923373485,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",291.58115993699903
7,250,-123.91169923373467,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",322.4862778280003
8,100,-123.91169923373462,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",198.68004719199962
9,100,-123.91169923373505,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",206.08446062999792
10,100,-123.91169923373485,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",201.97231515100066
11,100,-123.91169923373444,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",266.40825087399935
12,50,-123.91169923373467,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",266.37502676499935
13,50,-123.91169923373508,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",266.9976803299978
14,50,-123.91169923373444,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",261.87543341700075
15,50,-123.91169923373485,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",266.21208592900075
16,10,-123.91169923373467,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",267.83703841699753
17,10,-123.91169923373508,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",264.10145773000113
18,10,-123.91169923373444,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",256.86673409099967
19,10,-123.91169923373505,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",261.65904214400143
20,1,-123.91169923373467,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",263.310330545999
21,1,-123.91169923373454,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",260.97429715600083
22,1,-123.91169923373488,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",263.5121305749999
23,1,-123.91169923373485,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",271.5206249050025
24,0.5,-123.91169923373444,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",220.74899528199967
25,0.5,-123.91169923373444,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",211.76040271400052
26,0.5,-123.91169923373454,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",214.58884880700134
27,0.5,-123.91169923373508,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",229.536800064001
28,0.05,-123.91169923373444,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",220.39734033399873
29,0.05,-123.91169923373462,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",212.7142934370022
30,0.05,-123.91169923373454,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",200.443381391
31,0.05,-123.91169923373485,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",202.4035304570025
32,0.005,-123.91169923373508,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",239.5984996549996
33,0.005,-123.91169923373508,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",204.28840028500053
34,0.005,-123.91169923373508,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",200.6797242169996
35,0.005,-123.91169923373488,"[(2, 1), (7, 2), (6, 1), (8, 5), (1, 2), (4, 1), (8, 1), (8, 3)]",218.78429035199952
