,C,r,g,b
0,1.0,0.3278125,0.3356875,0.3365
1,1.0,0.34225,0.32575,0.332
2,1.0,0.3295625,0.3408125,0.329625
3,1.0,0.3543125,0.340875,0.3048125
4,1.0,0.3369375,0.3299375,0.333125
5,1.0,0.3559375,0.3033125,0.34075
6,1.0,0.3406875,0.3294375,0.329875
7,1.0,0.33025,0.3371875,0.3325625
8,1.0,0.3289375,0.3419375,0.329125
9,1.0,0.3724375,0.3135625,0.314
10,0.5,0.3548125,0.3056875,0.3395
11,0.5,0.34875,0.333375,0.317875
12,0.5,0.3525,0.3244375,0.3230625
13,0.5,0.32775,0.3375625,0.3346875
14,0.5,0.357,0.3025,0.3405
15,0.5,0.343625,0.33125,0.325125
16,0.5,0.352,0.3421875,0.3058125
17,0.5,0.33525,0.3259375,0.3388125
18,0.5,0.3540625,0.30625,0.3396875
19,0.5,0.3371875,0.3305,0.3323125
20,0.1,0.3390625,0.3185625,0.342375
21,0.1,0.30725,0.3259375,0.3668125
22,0.1,0.32975,0.319375,0.350875
23,0.1,0.3451875,0.319875,0.3349375
24,0.1,0.3271875,0.348875,0.3239375
25,0.1,0.356875,0.3084375,0.3346875
26,0.1,0.34825,0.300875,0.350875
27,0.1,0.32525,0.3393125,0.3354375
28,0.1,0.3480625,0.34275,0.3091875
29,0.1,0.3733125,0.32075,0.3059375
30,0.05,0.34475,0.318375,0.336875
31,0.05,0.3553125,0.334,0.3106875
32,0.05,0.356625,0.3374375,0.3059375
33,0.05,0.3056875,0.3136875,0.380625
34,0.05,0.29325,0.341625,0.365125
35,0.05,0.355,0.3111875,0.3338125
36,0.05,0.3575,0.2923125,0.3501875
37,0.05,0.350625,0.342125,0.30725
38,0.05,0.3390625,0.354625,0.3063125
39,0.05,0.353875,0.2865,0.359625
40,0.01,1.0,0.0,0.0
41,0.01,1.0,0.0,0.0
42,0.01,1.0,0.0,0.0
43,0.01,1.0,0.0,0.0
44,0.01,1.0,0.0,0.0
45,0.01,1.0,0.0,0.0
46,0.01,1.0,0.0,0.0
47,0.01,1.0,0.0,0.0
48,0.01,1.0,0.0,0.0
49,0.01,1.0,0.0,0.0
